Wavelength,I,Incrament,,Ambient Air
655.85,0.40364,0.00005,,655.853249
655.85005,0.40376,,,
655.8501,0.40339,,,
655.85015,0.40364,,,
655.8502,0.4037,,,
655.85025,0.4037,,,
655.8503,0.40309,,,
655.85035,0.40345,,,
655.8504,0.40376,,,
655.85045,0.4037,,,
655.8505,0.40376,,,
655.85055,0.40364,,,
655.8506,0.4037,,,
655.85065,0.40339,,,
655.8507,0.4037,,,
655.85075,0.4037,,,
655.8508,0.40364,,,
655.85085,0.40351,,,
655.8509,0.40388,,,
655.85095,0.40394,,,
655.851,0.40364,,,
655.85105,0.40364,,,
655.8511,0.40364,,,
655.85115,0.40376,,,
655.8512,0.40364,,,
655.85125,0.40333,,,
655.8513,0.40364,,,
655.85135,0.40364,,,
655.8514,0.4037,,,
655.85145,0.40339,,,
655.8515,0.40376,,,
655.85155,0.40358,,,
655.8516,0.40376,,,
655.85165,0.40364,,,
655.8517,0.40345,,,
655.85175,0.40345,,,
655.8518,0.40364,,,
655.85185,0.40358,,,
655.8519,0.40345,,,
655.85195,0.40358,,,
655.852,0.40339,,,
655.85205,0.40364,,,
655.8521,0.40364,,,
655.85215,0.40394,,,
655.8522,0.4037,,,
655.85225,0.4037,,,
655.8523,0.40358,,,
655.85235,0.40382,,,
655.8524,0.40351,,,
655.85245,0.40351,,,
655.8525,0.40358,,,
655.85255,0.40364,,,
655.8526,0.40358,,,
655.85265,0.40376,,,
655.8527,0.40376,,,
655.85275,0.40345,,,
655.8528,0.40339,,,
655.85285,0.40358,,,
655.8529,0.40382,,,
655.85295,0.40351,,,
655.853,0.40382,,,
655.85305,0.40351,,,
655.8531,0.40376,,,
655.85315,0.40412,,,
655.8532,0.4037,,,
655.85325,0.40351,,,
655.8533,0.40358,,,
655.85335,0.40345,,,
655.8534,0.40364,,,
655.85345,0.40364,,,
655.8535,0.404,,,
655.85355,0.40382,,,
655.8536,0.40382,,,
655.85365,0.40358,,,
655.8537,0.40351,,,
655.85375,0.40388,,,
655.8538,0.40388,,,
655.85385,0.40364,,,
