Wavelength,I,Incrament,,Ambient air
409.5,0.40394,0.00005,,
409.50005,0.40406,,,
409.5001,0.40406,,,
409.50015,0.40422,,,
409.5002,0.40421,,,
409.50025,0.40414,,,
409.5003,0.40414,,,
409.50035,0.40434,,,
409.5004,0.40415,,,
409.50045,0.404,,,
409.5005,0.40432,,,
409.50055,0.40414,,,
409.5006,0.40406,,,
409.50065,0.40417,,,
409.5007,0.40406,,,
409.50075,0.4043,,,
409.5008,0.40383,,,
409.50085,0.40413,,,
409.5009,0.40416,,,
409.50095,0.40428,,,
409.501,0.404,,,
409.50105,0.40393,,,
409.5011,0.40411,,,
409.50115,0.40397,,,
409.5012,0.40397,,,
409.50125,0.40399,,,
409.5013,0.40436,,,
409.50135,0.40408,,,
409.5014,0.40419,,,
409.50145,0.40425,,,
409.5015,0.40419,,,
409.50155,0.40425,,,
409.5016,0.40414,,,
409.50165,0.40421,,,
409.5017,0.40402,,,
409.50175,0.40438,,,
409.5018,0.40411,,,
409.50185,0.4041,,,
409.5019,0.40422,,,
409.50195,0.40417,,,
409.502,0.4041,,,
409.50205,0.40406,,,
409.5021,0.40399,,,
409.50215,0.40443,,,
409.5022,0.40408,,,
409.50225,0.40402,,,
409.5023,0.40409,,,
409.50235,0.40388,,,
409.5024,0.40409,,,
409.50245,0.40406,,,
409.5025,0.40395,,,
409.50255,0.40413,,,
409.5026,0.40425,,,
409.50265,0.40423,,,
409.5027,0.40423,,,
409.50275,0.40422,,,
409.5028,0.40405,,,
409.50285,0.4043,,,
409.5029,0.4042,,,
409.50295,0.40423,,,
409.503,0.4042,,,
409.50305,0.40425,,,
409.5031,0.40414,,,
409.50315,0.40405,,,
409.5032,0.40409,,,
409.50325,0.40422,,,
409.5033,0.40404,,,
409.50335,0.4041,,,
409.5034,0.40416,,,
409.50345,0.40415,,,
409.5035,0.40403,,,
409.50355,0.40402,,,
409.5036,0.40426,,,
409.50365,0.40408,,,
409.5037,0.40409,,,
409.50375,0.40437,,,
409.5038,0.404,,,
409.50385,0.40403,,,
409.5039,0.40423,,,
409.50395,0.4043,,,
409.504,0.40415,,,
409.50405,0.40405,,,
409.5041,0.40416,,,
409.50415,0.40403,,,
409.5042,0.40417,,,
409.50425,0.40399,,,
409.5043,0.40425,,,
409.50435,0.40417,,,
409.5044,0.40398,,,
409.50445,0.404,,,
409.5045,0.40422,,,
409.50455,0.40427,,,
409.5046,0.4042,,,
409.50465,0.40411,,,
409.5047,0.40433,,,
409.50475,0.40426,,,
409.5048,0.40414,,,
409.50485,0.40409,,,
409.5049,0.40439,,,
409.50495,0.40415,,,
409.505,0.404,,,
409.50505,0.40415,,,
409.5051,0.40419,,,
409.50515,0.4038,,,
409.5052,0.404,,,
409.50525,0.40409,,,
409.5053,0.40397,,,
409.50535,0.40399,,,
409.5054,0.40436,,,
409.50545,0.40405,,,
409.5055,0.40414,,,
409.50555,0.40419,,,
409.5056,0.40404,,,
409.50565,0.40406,,,
409.5057,0.40414,,,
409.50575,0.40406,,,
409.5058,0.40416,,,
409.50585,0.4042,,,
409.5059,0.40409,,,
409.50595,0.404,,,
409.506,0.40436,,,
409.50605,0.40409,,,
409.5061,0.40427,,,
409.50615,0.40432,,,
409.5062,0.404,,,
409.50625,0.40445,,,
409.5063,0.4041,,,
409.50635,0.4043,,,
409.5064,0.40397,,,
409.50645,0.40402,,,
409.5065,0.40428,,,
409.50655,0.40414,,,
409.5066,0.40416,,,
409.50665,0.4041,,,
409.5067,0.40417,,,
409.50675,0.4041,,,
409.5068,0.40403,,,
409.50685,0.40409,,,
409.5069,0.40414,,,
409.50695,0.40408,,,
