Wavelength,I
485.67,0.4043
485.67005,0.40438
485.6701,0.40425
485.67015,0.40415
485.6702,0.40422
485.67025,0.40439
485.6703,0.40419
485.67035,0.40423
485.6704,0.40425
485.67045,0.40414
485.6705,0.40425
485.67055,0.40421
485.6706,0.40423
485.67065,0.40447
485.6707,0.40436
485.67075,0.40422
485.6708,0.4043
485.67085,0.40437
485.6709,0.40416
485.67095,0.4041
485.671,0.40417
485.67105,0.40427
485.6711,0.40414
485.67115,0.40434
485.6712,0.4042
485.67125,0.40422
485.6713,0.40425
485.67135,0.40432
485.6714,0.40425
485.67145,0.40423
485.6715,0.40426
485.67155,0.4042
485.6716,0.40431
485.67165,0.40411
485.6717,0.40416
485.67175,0.40413
485.6718,0.40434
485.67185,0.40432
485.6719,0.40425
485.67195,0.40417
485.672,0.4043
485.67205,0.40415
485.6721,0.40437
485.67215,0.40423
485.6722,0.40428
485.67225,0.40428
485.6723,0.40421
485.67235,0.40436
485.6724,0.40413
485.67245,0.40419
485.6725,0.40422
485.67255,0.4042
485.6726,0.40421
485.67265,0.40439
485.6727,0.40411
485.67275,0.4043
485.6728,0.4042
485.67285,0.40419
485.6729,0.40421
485.67295,0.40425
485.673,0.4042
485.67305,0.40453
485.6731,0.4042
485.67315,0.40437
485.6732,0.40425
485.67325,0.40428
485.6733,0.40422
485.67335,0.40426
485.6734,0.40416
485.67345,0.4043
485.6735,0.40419
485.67355,0.40411
485.6736,0.4042
485.67365,0.40422
485.6737,0.40419
485.67375,0.40416
485.6738,0.40408
485.67385,0.40415
485.6739,0.40419
485.67395,0.40426
485.674,0.40432
485.67405,0.40419
485.6741,0.40416
485.67415,0.40426
485.6742,0.40436
485.67425,0.40416
485.6743,0.40417
485.67435,0.40414
485.6744,0.40425
485.67445,0.40422
485.6745,0.40437
485.67455,0.40423
485.6746,0.40408
485.67465,0.4042
485.6747,0.40427
485.67475,0.4043
485.6748,0.40411
485.67485,0.40431
485.6749,0.40419
485.67495,0.40423
485.675,0.40417
485.67505,0.40422
485.6751,0.40434
485.67515,0.40432
485.6752,0.40428
485.67525,0.40425
485.6753,0.40425
485.67535,0.40426
485.6754,0.40415
485.67545,0.40421
485.6755,0.4042
485.67555,0.40426
485.6756,0.40431
485.67565,0.40419
485.6757,0.40433
485.67575,0.40421
485.6758,0.40433
485.67585,0.40431
485.6759,0.40423
485.67595,0.40422
485.676,0.40421
485.67605,0.40417
485.6761,0.40417
485.67615,0.40411
485.6762,0.40416
485.67625,0.40419
485.6763,0.4043
485.67635,0.40421
485.6764,0.40421
485.67645,0.40426
485.6765,0.40422
485.67655,0.40417
485.6766,0.40422
485.67665,0.40427
485.6767,0.40428
485.67675,0.40431
485.6768,0.40428
485.67685,0.40433
485.6769,0.40426
485.67695,0.40427
485.677,0.40425
485.67705,0.40436
485.6771,0.40421
485.67715,0.40419
485.6772,0.40423
485.67725,0.40419
485.6773,0.40421
485.67735,0.40419
485.6774,0.40427
485.67745,0.40423
485.6775,0.40422
485.67755,0.40425
485.6776,0.40417
485.67765,0.40434
485.6777,0.40423
485.67775,0.40415
485.6778,0.40423
485.67785,0.40423
485.6779,0.40408
485.67795,0.40433
485.678,0.40423
485.67805,0.40428
485.6781,0.40433
485.67815,0.40414
485.6782,0.40422
485.67825,0.40422
485.6783,0.40425
485.67835,0.40422
485.6784,0.40432
485.67845,0.40422
485.6785,0.40411
485.67855,0.40416
485.6786,0.40421
485.67865,0.4043
485.6787,0.40408
485.67875,0.4043
485.6788,0.40411
485.67885,0.40431
485.6789,0.40425
485.67895,0.4041
485.679,0.40415
485.67905,0.40425
485.6791,0.40425
485.67915,0.40427
485.6792,0.40419
485.67925,0.40433
485.6793,0.40425
485.67935,0.40426
485.6794,0.40441
485.67945,0.40423
485.6795,0.40432
485.67955,0.40426
485.6796,0.40422
485.67965,0.40445
485.6797,0.40413
485.67975,0.40423
485.6798,0.40431
485.67985,0.40428
485.6799,0.40411
485.67995,0.40417
485.68,0.40426
485.68005,0.40422
485.6801,0.40422
485.68015,0.40426
485.6802,0.4042
485.68025,0.40434
485.6803,0.4041
485.68035,0.40419
485.6804,0.40423
485.68045,0.4042
485.6805,0.40416
485.68055,0.40423
485.6806,0.40423
485.68065,0.40411
485.6807,0.40423
485.68075,0.40417
485.6808,0.40433
485.68085,0.40416
485.6809,0.40428
485.68095,0.40428
485.681,0.40422
485.68105,0.40432
485.6811,0.40421
485.68115,0.40422
485.6812,0.40419
485.68125,0.40425
485.6813,0.40434
485.68135,0.40437
485.6814,0.40427
485.68145,0.40433
485.6815,0.40423
485.68155,0.40433
485.6816,0.40416
485.68165,0.40417
485.6817,0.40417
485.68175,0.40423
485.6818,0.40415
485.68185,0.40425
485.6819,0.40425
485.68195,0.40427
485.682,0.4043
485.68205,0.40432
485.6821,0.40414
485.68215,0.4043
485.6822,0.40414
485.68225,0.40413
485.6823,0.40425
485.68235,0.40423
485.6824,0.40417
485.68245,0.40406
485.6825,0.40442
485.68255,0.40433
485.6826,0.40419
485.68265,0.40427
485.6827,0.40421
485.68275,0.40417
485.6828,0.40426
485.68285,0.40423
485.6829,0.40416
485.68295,0.40415
485.683,0.40411
485.68305,0.40411
485.6831,0.40415
485.68315,0.40417
485.6832,0.40423
485.68325,0.40427
485.6833,0.40433
485.68335,0.40421
485.6834,0.40423
485.68345,0.40416
485.6835,0.40425
485.68355,0.4042
485.6836,0.40421
485.68365,0.4043
485.6837,0.40423
485.68375,0.40416
485.6838,0.40437
485.68385,0.4042
485.6839,0.40438
485.68395,0.40431
485.684,0.40421
485.68405,0.40434
485.6841,0.40421
485.68415,0.40425
485.6842,0.40428
485.68425,0.40426
485.6843,0.4043
485.68435,0.40438
485.6844,0.40419
485.68445,0.40423
485.6845,0.40403
485.68455,0.40431
485.6846,0.40417
485.68465,0.40427
485.6847,0.4043
485.68475,0.4043
485.6848,0.40437
485.68485,0.40428
485.6849,0.40427
485.68495,0.40414
485.685,0.40425
485.68505,0.40423
485.6851,0.4041
485.68515,0.40419
485.6852,0.40432
485.68525,0.40414
485.6853,0.40422
485.68535,0.40423
485.6854,0.4043
485.68545,0.4042
485.6855,0.40419
485.68555,0.4041
485.6856,0.40419
485.68565,0.40442
485.6857,0.40426
485.68575,0.4041
485.6858,0.40436
485.68585,0.40431
485.6859,0.40433
485.68595,0.40425
485.686,0.40432
485.68605,0.40422
485.6861,0.40426
485.68615,0.40423
485.6862,0.40426
485.68625,0.40419
485.6863,0.40438
485.68635,0.40422
485.6864,0.40411
485.68645,0.40421
485.6865,0.40428
485.68655,0.40425
485.6866,0.40425
485.68665,0.40426
485.6867,0.40428
485.68675,0.4042
485.6868,0.40423
485.68685,0.40423
485.6869,0.40415
485.68695,0.40423
485.687,0.40421
485.68705,0.40432
485.6871,0.40426
485.68715,0.40413
485.6872,0.40427
485.68725,0.40421
485.6873,0.40416
485.68735,0.40428
485.6874,0.4042
485.68745,0.40428
485.6875,0.40427
485.68755,0.40425
485.6876,0.40422
485.68765,0.40434
485.6877,0.40434
485.68775,0.40431
485.6878,0.40422
485.68785,0.40432
485.6879,0.40431
485.68795,0.40415
485.688,0.40431
485.68805,0.40433
485.6881,0.40422
485.68815,0.40419
485.6882,0.40417
485.68825,0.40416
485.6883,0.40409
485.68835,0.40427
485.6884,0.40422
485.68845,0.40423
485.6885,0.40421
485.68855,0.40443
485.6886,0.40411
485.68865,0.40437
485.6887,0.40425
485.68875,0.4042
485.6888,0.40434
485.68885,0.40421
485.6889,0.40417
485.68895,0.40416
485.689,0.4042
485.68905,0.40432
485.6891,0.40427
485.68915,0.4042
485.6892,0.4042
485.68925,0.40439
485.6893,0.40442
485.68935,0.4043
485.6894,0.40427
485.68945,0.40437
485.6895,0.40443
485.68955,0.40416
485.6896,0.40425
485.68965,0.40417
485.6897,0.40421
485.68975,0.4043
485.6898,0.40423
485.68985,0.40411
485.6899,0.4042
485.68995,0.4043
485.69,0.40417
485.69005,0.40423
485.6901,0.40425
485.69015,0.4043
485.6902,0.40421
485.69025,0.40417
485.6903,0.40419
485.69035,0.40426
485.6904,0.4043
485.69045,0.40416
485.6905,0.40433
485.69055,0.40423
485.6906,0.40421
485.69065,0.40445
485.6907,0.40419
485.69075,0.40419
485.6908,0.40426
485.69085,0.40423
485.6909,0.40426
485.69095,0.40434
485.691,0.40428
485.69105,0.4042
485.6911,0.40426
485.69115,0.4043
485.6912,0.40419
485.69125,0.40417
485.6913,0.40419
485.69135,0.40433
485.6914,0.4041
485.69145,0.40408
485.6915,0.4042
485.69155,0.40433
485.6916,0.4041
485.69165,0.4042
485.6917,0.40411
485.69175,0.40427
485.6918,0.40426
485.69185,0.40425
485.6919,0.40428
485.69195,0.40426
485.692,0.40427
485.69205,0.40417
485.6921,0.40439
485.69215,0.40425
485.6922,0.40423
485.69225,0.4042
485.6923,0.40421
485.69235,0.40423
485.6924,0.40421
485.69245,0.40434
485.6925,0.40406
485.69255,0.4042
485.6926,0.40425
485.69265,0.40417
485.6927,0.4043
485.69275,0.4043
485.6928,0.4043
485.69285,0.40427
485.6929,0.40419
485.69295,0.40413
485.693,0.40423
485.69305,0.40411
485.6931,0.40431
485.69315,0.40431
485.6932,0.4043
485.69325,0.40417
485.6933,0.4043
485.69335,0.40422
485.6934,0.40427
