Wavelength,I,step
545.47,0.40742,0.00005
545.47005,0.40693,
545.4701,0.40797,
545.47015,0.40833,
545.4702,0.40894,
545.47025,0.40821,
545.4703,0.40791,
545.47035,0.40766,
545.4704,0.40736,
545.47045,0.40797,
545.4705,0.40644,
545.47055,0.40846,
545.4706,0.4076,
545.47065,0.40778,
545.4707,0.40791,
545.47075,0.40803,
545.4708,0.40785,
545.47085,0.40791,
545.4709,0.40846,
545.47095,0.40943,
545.471,0.40833,
545.47105,0.40681,
545.4711,0.40888,
545.47115,0.40778,
545.4712,0.40852,
545.47125,0.40748,
545.4713,0.40785,
545.47135,0.40809,
545.4714,0.40815,
545.47145,0.40827,
545.4715,0.40833,
545.47155,0.40736,
545.4716,0.40748,
545.47165,0.40931,
545.4717,0.40827,
545.47175,0.40846,
545.4718,0.409,
545.47185,0.4084,
545.4719,0.40687,
545.47195,0.40815,
545.472,0.40827,
545.47205,0.40791,
545.4721,0.4076,
545.47215,0.40699,
545.4722,0.40888,
545.47225,0.40882,
545.4723,0.40858,
545.47235,0.40718,
545.4724,0.40791,
545.47245,0.40699,
545.4725,0.40754,
545.47255,0.40827,
545.4726,0.4084,
545.47265,0.40785,
545.4727,0.40961,
545.47275,0.40724,
545.4728,0.40815,
545.47285,0.40931,
545.4729,0.40864,
545.47295,0.40943,
545.473,0.40809,
545.47305,0.40791,
545.4731,0.40803,
545.47315,0.4087,
545.4732,0.40925,
545.47325,0.4084,
545.4733,0.40888,
545.47335,0.40815,
545.4734,0.40943,
545.47345,0.40864,
545.4735,0.4076,
545.47355,0.40772,
545.4736,0.40803,
545.47365,0.40907,
545.4737,0.40876,
545.47375,0.409,
545.4738,0.40815,
545.47385,0.40913,
545.4739,0.40919,
545.47395,0.40986,
545.474,0.40919,
545.47405,0.40815,
545.4741,0.40864,
545.47415,0.40968,
545.4742,0.40888,
545.47425,0.41016,
545.4743,0.40846,
545.47435,0.40955,
545.4744,0.409,
545.47445,0.41029,
545.4745,0.4084,
545.47455,0.4087,
545.4746,0.40925,
545.47465,0.40998,
545.4747,0.40894,
545.47475,0.41016,
545.4748,0.409,
545.47485,0.41083,
545.4749,0.4101,
545.47495,0.40955,
545.475,0.40961,
545.47505,0.40888,
545.4751,0.40925,
545.47515,0.4087,
545.4752,0.40894,
545.47525,0.4101,
545.4753,0.40882,
545.47535,0.41035,
545.4754,0.40974,
545.47545,0.41114,
545.4755,0.40968,
545.47555,0.41053,
545.4756,0.41151,
545.47565,0.41041,
545.4757,0.41022,
545.47575,0.40931,
545.4758,0.41096,
545.47585,0.41059,
545.4759,0.40998,
545.47595,0.40876,
545.476,0.41114,
545.47605,0.40955,
545.4761,0.41041,
545.47615,0.41071,
545.4762,0.41108,
545.47625,0.41108,
545.4763,0.4123,
545.47635,0.40961,
545.4764,0.41035,
545.47645,0.40968,
545.4765,0.41077,
545.47655,0.41065,
545.4766,0.41187,
545.47665,0.41083,
545.4767,0.41071,
545.47675,0.41083,
545.4768,0.41199,
545.47685,0.41071,
545.4769,0.4126,
545.47695,0.41138,
545.477,0.41004,
545.47705,0.41022,
545.4771,0.41425,
545.47715,0.41273,
545.4772,0.41157,
545.47725,0.41163,
545.4773,0.41315,
545.47735,0.41218,
545.4774,0.41108,
545.47745,0.41157,
545.4775,0.41224,
545.47755,0.41151,
545.4776,0.41395,
545.47765,0.41157,
545.4777,0.41321,
545.47775,0.41193,
545.4778,0.41114,
545.47785,0.41144,
545.4779,0.41425,
545.47795,0.41212,
545.478,0.41114,
545.47805,0.41163,
545.4781,0.41321,
545.47815,0.41364,
545.4782,0.41492,
545.47825,0.4126,
545.4783,0.41267,
545.47835,0.41413,
545.4784,0.41285,
545.47845,0.41382,
545.4785,0.4134,
545.47855,0.4126,
545.4786,0.41327,
545.47865,0.4137,
545.4787,0.41321,
545.47875,0.41358,
545.4788,0.41553,
545.47885,0.4137,
545.4789,0.41279,
545.47895,0.41712,
545.479,0.41462,
545.47905,0.41456,
545.4791,0.41584,
545.47915,0.41321,
545.4792,0.41645,
545.47925,0.41694,
545.4793,0.41657,
545.47935,0.41511,
545.4794,0.41681,
545.47945,0.41608,
545.4795,0.41663,
545.47955,0.4173,
545.4796,0.42078,
545.47965,0.41962,
545.4797,0.41736,
545.47975,0.41724,
545.4798,0.41535,
545.47985,0.41846,
545.4799,0.41883,
545.47995,0.41718,
545.48,0.41937,
545.48005,0.41742,
545.4801,0.42047,
545.48015,0.41712,
545.4802,0.41895,
545.48025,0.4209,
545.4803,0.41742,
545.48035,0.41681,
545.4804,0.41773,
545.48045,0.41852,
545.4805,0.41919,
545.48055,0.42194,
545.4806,0.42303,
545.48065,0.42242,
545.4807,0.42352,
545.48075,0.42114,
545.4808,0.42218,
545.48085,0.42316,
545.4809,0.4256,
545.48095,0.4245,
545.481,0.42554,
545.48105,0.4248,
545.4811,0.42322,
545.48115,0.4248,
545.4812,0.42584,
545.48125,0.42645,
545.4813,0.42218,
545.48135,0.42377,
545.4814,0.42889,
545.48145,0.42657,
545.4815,0.42425,
545.48155,0.42511,
545.4816,0.42627,
545.48165,0.43231,
545.4817,0.42578,
545.48175,0.42743,
545.4818,0.4309,
545.48185,0.43072,
545.4819,0.43121,
545.48195,0.43487,
545.482,0.43578,
545.48205,0.43658,
545.4821,0.43182,
545.48215,0.43029,
545.4822,0.43713,
545.48225,0.43871,
545.4823,0.43145,
545.48235,0.43255,
545.4824,0.43188,
545.48245,0.43511,
545.4825,0.43511,
545.48255,0.44018,
545.4826,0.43182,
545.48265,0.44286,
545.4827,0.44182,
545.48275,0.44133,
545.4828,0.44554,
545.48285,0.44646,
545.4829,0.43963,
545.48295,0.4453,
545.483,0.44914,
545.48305,0.44841,
545.4831,0.4503,
545.48315,0.44365,
545.4832,0.44634,
545.48325,0.45097,
545.4833,0.44335,
545.48335,0.44316,
545.4834,0.45677,
545.48345,0.45024,
545.4835,0.45561,
545.48355,0.45695,
545.4836,0.46409,
545.48365,0.45945,
545.4837,0.46012,
545.48375,0.45774,
545.4838,0.4586,
545.48385,0.46226,
545.4839,0.45701,
545.48395,0.45268,
545.484,0.46482,
545.48405,0.46531,
545.4841,0.45457,
545.48415,0.46299,
545.4842,0.46378,
545.48425,0.4575,
545.4843,0.46293,
545.48435,0.47348,
545.4844,0.46793,
545.48445,0.46933,
545.4845,0.46909,
545.48455,0.46787,
545.4846,0.47812,
545.48465,0.47074,
545.4847,0.47312,
545.48475,0.46744,
545.4848,0.48367,
545.48485,0.46464,
545.4849,0.48385,
545.48495,0.4761,
545.485,0.46732,
545.48505,0.48574,
545.4851,0.46818,
545.48515,0.48281,
545.4852,0.4683,
545.48525,0.46982,
545.4853,0.48617,
545.48535,0.47879,
545.4854,0.48733,
545.48545,0.48056,
545.4855,0.49453,
545.48555,0.48879,
545.4856,0.47958,
545.48565,0.48178,
545.4857,0.49148,
545.48575,0.49379,
545.4858,0.49154,
545.48585,0.49142,
545.4859,0.50093,
545.48595,0.48489,
545.486,0.49514,
545.48605,0.50044,
545.4861,0.50606,
545.48615,0.50227,
545.4862,0.48965,
545.48625,0.50258,
545.4863,0.51435,
545.48635,0.50258,
545.4864,0.50069,
545.48645,0.50532,
545.4865,0.50813,
545.48655,0.49697,
545.4866,0.50258,
545.48665,0.49508,
545.4867,0.5127,
545.48675,0.51277,
545.4868,0.51118,
545.48685,0.50307,
545.4869,0.49928,
545.48695,0.50331,
545.487,0.50374,
545.48705,0.51618,
545.4871,0.52484,
545.48715,0.50453,
545.4872,0.49953,
545.48725,0.51094,
545.4873,0.51777,
545.48735,0.52179,
545.4874,0.50337,
545.48745,0.4919,
545.4875,0.52204,
545.48755,0.53338,
545.4876,0.50057,
545.48765,0.50313,
545.4877,0.52673,
545.48775,0.50917,
545.4878,0.51521,
545.48785,0.51984,
545.4879,0.53747,
545.48795,0.53771,
545.488,0.5066,
545.48805,0.5127,
545.4881,0.52088,
545.48815,0.52728,
545.4882,0.52082,
545.48825,0.50978,
545.4883,0.53149,
545.48835,0.53412,
545.4884,0.51655,
545.48845,0.51386,
545.4885,0.52436,
545.48855,0.53771,
545.4886,0.54308,
545.48865,0.53729,
545.4887,0.52972,
545.48875,0.53162,
545.4888,0.52887,
545.48885,0.51014,
545.4889,0.53222,
545.48895,0.51112,
545.489,0.51393,
545.48905,0.53424,
545.4891,0.53778,
545.48915,0.53271,
545.4892,0.51667,
545.48925,0.51466,
545.4893,0.54418,
545.48935,0.53936,
545.4894,0.54571,
545.48945,0.54674,
545.4895,0.52411,
545.48955,0.51826,
545.4896,0.52551,
545.48965,0.52673,
545.4897,0.52314,
545.48975,0.53845,
545.4898,0.51527,
545.48985,0.54217,
545.4899,0.54046,
545.48995,0.53967,
545.49,0.53082,
545.49005,0.5135,
545.4901,0.54357,
545.49015,0.54461,
545.4902,0.53729,
545.49025,0.53643,
545.4903,0.53595,
545.49035,0.52131,
545.4904,0.52545,
545.49045,0.52503,
545.4905,0.53229,
545.49055,0.54162,
545.4906,0.53369,
545.49065,0.5415,
545.4907,0.52002,
545.49075,0.52472,
545.4908,0.53619,
545.49085,0.53753,
545.4909,0.51112,
545.49095,0.54528,
545.491,0.53973,
545.49105,0.54339,
545.4911,0.52033,
545.49115,0.53058,
545.4912,0.53485,
545.49125,0.53027,
545.4913,0.52515,
545.49135,0.5127,
545.4914,0.52795,
545.49145,0.52643,
545.4915,0.52185,
545.49155,0.52771,
545.4916,0.53113,
545.49165,0.53137,
545.4917,0.51545,
545.49175,0.53216,
545.4918,0.53832,
545.49185,0.52978,
545.4919,0.51423,
545.49195,0.5257,
545.492,0.53454,
545.49205,0.52503,
545.4921,0.51331,
545.49215,0.50246,
545.4922,0.53869,
545.49225,0.52808,
545.4923,0.50898,
545.49235,0.51155,
545.4924,0.50776,
545.49245,0.52753,
545.4925,0.52338,
545.49255,0.52826,
545.4926,0.52741,
545.49265,0.52783,
545.4927,0.5005,
545.49275,0.52308,
545.4928,0.51923,
545.49285,0.50423,
545.4929,0.52814,
545.49295,0.51911,
545.493,0.50813,
545.49305,0.51179,
545.4931,0.51941,
545.49315,0.52759,
545.4932,0.51356,
545.49325,0.50484,
545.4933,0.51813,
545.49335,0.52161,
545.4934,0.51307,
545.49345,0.51984,
545.4935,0.51338,
545.49355,0.50301,
545.4936,0.50343,
545.49365,0.51179,
545.4937,0.50105,
545.49375,0.51167,
545.4938,0.49947,
545.49385,0.4941,
