Wavelength,I,step
545.475,0.41742,0.0005
545.47505,0.41376,
545.4751,0.41486,
545.47515,0.4148,
545.4752,0.41279,
545.47525,0.4162,
545.4753,0.41364,
545.47535,0.41419,
545.4754,0.41309,
545.47545,0.4134,
545.4755,0.41492,
545.47555,0.41321,
545.4756,0.41327,
545.47565,0.41297,
545.4757,0.41468,
545.47575,0.41321,
545.4758,0.41639,
545.47585,0.41474,
545.4759,0.41449,
545.47595,0.4134,
545.476,0.41315,
545.47605,0.4137,
545.4761,0.41529,
545.47615,0.41504,
545.4762,0.41572,
545.47625,0.41419,
545.4763,0.4134,
545.47635,0.41413,
545.4764,0.41663,
545.47645,0.41449,
545.4765,0.41456,
545.47655,0.41492,
545.4766,0.41559,
545.47665,0.41614,
545.4767,0.41437,
545.47675,0.41468,
545.4768,0.41675,
545.47685,0.41181,
545.4769,0.41468,
545.47695,0.41578,
545.477,0.41724,
545.47705,0.41474,
545.4771,0.41614,
545.47715,0.41572,
545.4772,0.41486,
545.47725,0.41382,
545.4773,0.41822,
545.47735,0.41706,
545.4774,0.41675,
545.47745,0.41767,
545.4775,0.41584,
545.47755,0.41462,
545.4776,0.41736,
545.47765,0.41553,
545.4777,0.41803,
545.47775,0.42017,
545.4778,0.41474,
545.47785,0.41761,
545.4779,0.41596,
545.47795,0.41785,
545.478,0.41626,
545.47805,0.42072,
545.4781,0.4195,
545.47815,0.41962,
545.4782,0.41828,
545.47825,0.41797,
545.4783,0.42011,
545.47835,0.41986,
545.4784,0.42072,
545.47845,0.42224,
545.4785,0.4198,
545.47855,0.42041,
545.4786,0.41718,
545.47865,0.41742,
545.4787,0.4198,
545.47875,0.42096,
545.4788,0.42017,
545.47885,0.41883,
545.4789,0.42108,
545.47895,0.41944,
545.479,0.41852,
545.47905,0.42212,
545.4791,0.42139,
545.47915,0.42145,
545.4792,0.4234,
545.47925,0.42102,
545.4793,0.42182,
545.47935,0.42297,
545.4794,0.42474,
545.47945,0.42523,
545.4795,0.42346,
545.47955,0.42493,
545.4796,0.42535,
545.47965,0.42425,
545.4797,0.42249,
545.47975,0.42456,
545.4798,0.42621,
545.47985,0.42419,
545.4799,0.42785,
545.47995,0.42163,
545.48,0.42651,
545.48005,0.42669,
545.4801,0.42651,
545.48015,0.42438,
545.4802,0.42779,
545.48025,0.42907,
545.4803,0.42554,
545.48035,0.42517,
545.4804,0.42767,
545.48045,0.43286,
545.4805,0.42779,
545.48055,0.42706,
545.4806,0.43249,
545.48065,0.42883,
545.4807,0.43218,
545.48075,0.43603,
545.4808,0.43292,
545.48085,0.43304,
545.4809,0.43066,
545.48095,0.43578,
545.481,0.43481,
545.48105,0.43584,
545.4811,0.43889,
545.48115,0.43652,
545.4812,0.43835,
545.48125,0.43804,
545.4813,0.43792,
545.48135,0.43377,
545.4814,0.43999,
545.48145,0.43902,
545.4815,0.43975,
545.48155,0.44457,
545.4816,0.44774,
545.48165,0.44341,
545.4817,0.44164,
